,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2,Bet
218,Over,1.92,152.5,Houston Baptist Huskies,New Orleans Privateers,SugarHouse,2022-01-07T17:00:00Z,1.91,137.0,1.91,137.0,True
219,Under,1.91,152.5,Houston Baptist Huskies,New Orleans Privateers,SugarHouse,2022-01-07T17:00:00Z,1.91,137.0,1.91,137.0,True
220,Over,1.92,152.5,Houston Baptist Huskies,New Orleans Privateers,TwinSpires,2022-01-07T17:00:00Z,1.91,137.0,1.91,137.0,True
221,Under,1.91,152.5,Houston Baptist Huskies,New Orleans Privateers,TwinSpires,2022-01-07T17:00:00Z,1.91,137.0,1.91,137.0,True
224,Over,1.92,140.0,Navy Midshipmen,Bucknell Bison,Barstool Sportsbook,2022-01-08T00:00:00Z,1.88,150.0,1.93,149.5,True
225,Under,1.89,140.0,Navy Midshipmen,Bucknell Bison,Barstool Sportsbook,2022-01-08T00:00:00Z,1.93,150.0,1.88,149.5,True
226,Over,1.91,140.5,Navy Midshipmen,Bucknell Bison,BetMGM,2022-01-08T00:00:00Z,2.0,150.5,1.83,149.5,True
227,Under,1.91,140.5,Navy Midshipmen,Bucknell Bison,BetMGM,2022-01-08T00:00:00Z,1.83,150.5,2.0,149.5,True
228,Over,1.92,140.0,Navy Midshipmen,Bucknell Bison,BetRivers,2022-01-08T00:00:00Z,1.94,149.5,1.94,150.5,True
229,Under,1.89,140.0,Navy Midshipmen,Bucknell Bison,BetRivers,2022-01-08T00:00:00Z,1.88,149.5,1.88,150.5,True
230,Over,1.91,140.0,Navy Midshipmen,Bucknell Bison,BetUS,2022-01-08T00:00:00Z,1.92,150.0,1.84,149.5,True
231,Under,1.91,140.0,Navy Midshipmen,Bucknell Bison,BetUS,2022-01-08T00:00:00Z,1.92,150.0,2.01,149.5,True
232,Over,1.91,140.0,Navy Midshipmen,Bucknell Bison,Bovada,2022-01-08T00:00:00Z,1.91,149.5,1.87,150.0,True
233,Under,1.91,140.0,Navy Midshipmen,Bucknell Bison,Bovada,2022-01-08T00:00:00Z,1.91,149.5,1.95,150.0,True
234,Over,1.95,140.5,Navy Midshipmen,Bucknell Bison,DraftKings,2022-01-08T00:00:00Z,1.88,150.0,1.93,149.5,True
235,Under,1.87,140.5,Navy Midshipmen,Bucknell Bison,DraftKings,2022-01-08T00:00:00Z,1.93,150.0,1.88,149.5,True
236,Over,1.91,140.5,Navy Midshipmen,Bucknell Bison,FOX Bet,2022-01-08T00:00:00Z,1.88,150.0,1.93,149.5,True
237,Under,1.91,140.5,Navy Midshipmen,Bucknell Bison,FOX Bet,2022-01-08T00:00:00Z,1.93,150.0,1.88,149.5,True
238,Over,1.93,140.5,Navy Midshipmen,Bucknell Bison,FanDuel,2022-01-08T00:00:00Z,1.85,150.0,1.89,149.5,True
239,Under,1.89,140.5,Navy Midshipmen,Bucknell Bison,FanDuel,2022-01-08T00:00:00Z,1.9,150.0,1.85,149.5,True
240,Over,1.92,140.0,Navy Midshipmen,Bucknell Bison,GTbets,2022-01-08T00:00:00Z,1.91,149.5,1.83,150.5,True
241,Under,1.92,140.0,Navy Midshipmen,Bucknell Bison,GTbets,2022-01-08T00:00:00Z,1.91,149.5,1.91,150.5,True
242,Over,1.92,140.0,Navy Midshipmen,Bucknell Bison,SugarHouse,2022-01-08T00:00:00Z,1.93,139.5,1.87,150.0,True
243,Under,1.89,140.0,Navy Midshipmen,Bucknell Bison,SugarHouse,2022-01-08T00:00:00Z,1.88,139.5,1.95,150.0,True
250,Over,1.92,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,Barstool Sportsbook,2022-01-08T01:30:00Z,1.91,139.5,1.91,139.5,True
251,Under,1.89,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,Barstool Sportsbook,2022-01-08T01:30:00Z,1.91,139.5,1.91,139.5,True
252,Over,1.92,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,BetRivers,2022-01-08T01:30:00Z,1.95,140.0,1.91,139.5,True
253,Under,1.89,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,BetRivers,2022-01-08T01:30:00Z,1.87,140.0,1.91,139.5,True
254,Over,1.91,150.0,Nicholls St Colonels,Texas A&M-CC Islanders,BetUS,2022-01-08T01:30:00Z,1.91,140.5,1.91,140.0,True
255,Under,1.91,150.0,Nicholls St Colonels,Texas A&M-CC Islanders,BetUS,2022-01-08T01:30:00Z,1.91,140.5,1.91,140.0,True
256,Over,1.92,149.5,Nicholls St Colonels,Texas A&M-CC Islanders,GTbets,2022-01-08T01:30:00Z,1.93,140.5,1.91,140.5,True
257,Under,1.92,149.5,Nicholls St Colonels,Texas A&M-CC Islanders,GTbets,2022-01-08T01:30:00Z,1.89,140.5,1.91,140.5,True
258,Over,1.92,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,SugarHouse,2022-01-08T01:30:00Z,1.92,139.5,1.93,140.5,True
259,Under,1.89,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,SugarHouse,2022-01-08T01:30:00Z,1.92,139.5,1.89,140.5,True
260,Over,1.92,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,TwinSpires,2022-01-08T01:30:00Z,1.91,139.5,1.92,139.5,True
261,Under,1.89,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,TwinSpires,2022-01-08T01:30:00Z,1.91,139.5,1.92,139.5,True
262,Over,1.88,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,Unibet,2022-01-08T01:30:00Z,1.93,139.5,1.87,139.5,True
263,Under,1.86,151.0,Nicholls St Colonels,Texas A&M-CC Islanders,Unibet,2022-01-08T01:30:00Z,1.88,139.5,1.95,139.5,True
264,Over,1.92,150.5,Northwestern St Demons,Incarnate Word Cardinals,Barstool Sportsbook,2022-01-07T19:30:00Z,1.93,139.5,1.93,139.5,True
265,Under,1.89,150.5,Northwestern St Demons,Incarnate Word Cardinals,Barstool Sportsbook,2022-01-07T19:30:00Z,1.88,139.5,1.88,139.5,True
266,Over,1.91,150.5,Northwestern St Demons,Incarnate Word Cardinals,BetMGM,2022-01-07T19:30:00Z,1.89,139.5,1.93,139.5,True
267,Under,1.91,150.5,Northwestern St Demons,Incarnate Word Cardinals,BetMGM,2022-01-07T19:30:00Z,1.85,139.5,1.88,139.5,True
268,Over,1.92,150.5,Northwestern St Demons,Incarnate Word Cardinals,BetRivers,2022-01-07T19:30:00Z,1.91,139.5,1.89,139.5,True
269,Under,1.89,150.5,Northwestern St Demons,Incarnate Word Cardinals,BetRivers,2022-01-07T19:30:00Z,1.91,139.5,1.85,139.5,True
270,Over,1.91,150.5,Northwestern St Demons,Incarnate Word Cardinals,BetUS,2022-01-07T19:30:00Z,1.91,139.5,1.91,140.0,True
271,Under,1.91,150.5,Northwestern St Demons,Incarnate Word Cardinals,BetUS,2022-01-07T19:30:00Z,1.91,139.5,1.91,140.0,True
272,Over,1.91,150.5,Northwestern St Demons,Incarnate Word Cardinals,Bovada,2022-01-07T19:30:00Z,1.92,149.5,1.87,139.5,True
273,Under,1.91,150.5,Northwestern St Demons,Incarnate Word Cardinals,Bovada,2022-01-07T19:30:00Z,1.89,149.5,1.95,139.5,True
284,Over,1.93,136.0,Ohio Bobcats,Kent State Golden Flashes,Barstool Sportsbook,2022-01-07T23:30:00Z,1.92,149.5,1.92,149.5,True
285,Under,1.88,136.0,Ohio Bobcats,Kent State Golden Flashes,Barstool Sportsbook,2022-01-07T23:30:00Z,1.89,149.5,1.89,149.5,True
286,Over,1.91,134.5,Ohio Bobcats,Kent State Golden Flashes,BetMGM,2022-01-07T23:30:00Z,1.88,149.5,1.92,149.5,True
287,Under,1.91,134.5,Ohio Bobcats,Kent State Golden Flashes,BetMGM,2022-01-07T23:30:00Z,1.86,149.5,1.89,149.5,True
288,Over,1.93,136.0,Ohio Bobcats,Kent State Golden Flashes,BetRivers,2022-01-07T23:30:00Z,1.91,148.0,1.88,149.5,True
