,name,price,point,home_team,away_team,bookmakers.title,commence_time,price2,point2
178,Over,1.91,143.5,Cincinnati Bearcats,SMU Mustangs,BetMGM,2022-01-07T02:30:00Z,1.91,143.5
179,Under,1.91,143.5,Cincinnati Bearcats,SMU Mustangs,BetMGM,2022-01-07T02:30:00Z,1.91,143.5
180,Over,1.92,143.5,Cincinnati Bearcats,SMU Mustangs,BetRivers,2022-01-07T02:30:00Z,1.92,143.5
181,Under,1.89,143.5,Cincinnati Bearcats,SMU Mustangs,BetRivers,2022-01-07T02:30:00Z,1.89,143.5
182,Over,1.91,143.5,Cincinnati Bearcats,SMU Mustangs,BetUS,2022-01-07T02:30:00Z,1.91,143.5
183,Under,1.91,143.5,Cincinnati Bearcats,SMU Mustangs,BetUS,2022-01-07T02:30:00Z,1.91,143.5
184,Over,1.91,144.5,Cincinnati Bearcats,SMU Mustangs,Bovada,2022-01-07T02:30:00Z,1.91,144.5
185,Under,1.91,144.5,Cincinnati Bearcats,SMU Mustangs,Bovada,2022-01-07T02:30:00Z,1.91,144.5
186,Over,1.87,143.5,Cincinnati Bearcats,SMU Mustangs,DraftKings,2022-01-07T02:30:00Z,1.87,143.5
187,Under,1.95,143.5,Cincinnati Bearcats,SMU Mustangs,DraftKings,2022-01-07T02:30:00Z,1.95,143.5
188,Over,1.87,143.0,Cincinnati Bearcats,SMU Mustangs,FanDuel,2022-01-07T02:30:00Z,1.87,143.0
189,Under,1.95,143.0,Cincinnati Bearcats,SMU Mustangs,FanDuel,2022-01-07T02:30:00Z,1.95,143.0
190,Over,1.92,143.5,Cincinnati Bearcats,SMU Mustangs,GTbets,2022-01-07T02:30:00Z,1.92,143.5
191,Under,1.92,143.5,Cincinnati Bearcats,SMU Mustangs,GTbets,2022-01-07T02:30:00Z,1.92,143.5
192,Over,1.91,142.5,Cincinnati Bearcats,SMU Mustangs,MyBookie.ag,2022-01-07T02:30:00Z,1.91,143.5
193,Under,1.91,142.5,Cincinnati Bearcats,SMU Mustangs,MyBookie.ag,2022-01-07T02:30:00Z,1.91,143.5
194,Over,1.87,143.5,Cincinnati Bearcats,SMU Mustangs,PointsBet (US),2022-01-07T02:30:00Z,1.87,143.5
195,Under,1.95,143.5,Cincinnati Bearcats,SMU Mustangs,PointsBet (US),2022-01-07T02:30:00Z,1.95,143.5
