,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
55,Under,1.92,223.0,Chicago Bulls,Washington Wizards,SugarHouse,2022-01-08T01:10:00Z,1.92,225.5,1.92,225.5
56,Over,1.89,223.0,Chicago Bulls,Washington Wizards,TwinSpires,2022-01-08T01:10:00Z,1.89,225.5,1.89,225.5
57,Under,1.92,223.0,Chicago Bulls,Washington Wizards,TwinSpires,2022-01-08T01:10:00Z,1.92,225.5,1.92,225.5
58,Over,1.9,223.0,Chicago Bulls,Washington Wizards,Unibet,2022-01-08T01:10:00Z,1.9,225.5,1.9,225.5
59,Under,1.92,223.0,Chicago Bulls,Washington Wizards,Unibet,2022-01-08T01:10:00Z,1.92,225.5,1.92,225.5
60,Over,1.91,224.0,Chicago Bulls,Washington Wizards,William Hill (US),2022-01-08T01:10:00Z,1.91,225.5,1.91,225.5
61,Under,1.91,224.0,Chicago Bulls,Washington Wizards,William Hill (US),2022-01-08T01:10:00Z,1.91,225.5,1.91,225.5
62,Over,1.91,224.0,Chicago Bulls,Washington Wizards,WynnBET,2022-01-08T01:10:00Z,1.91,225.0,1.91,225.0
63,Under,1.91,224.0,Chicago Bulls,Washington Wizards,WynnBET,2022-01-08T01:10:00Z,1.91,225.0,1.91,225.0
64,Over,1.88,225.5,Denver Nuggets,Sacramento Kings,Barstool Sportsbook,2022-01-08T02:10:00Z,1.88,225.0,1.93,226.5
65,Under,1.93,225.5,Denver Nuggets,Sacramento Kings,Barstool Sportsbook,2022-01-08T02:10:00Z,1.92,225.0,1.88,226.5
66,Over,1.91,224.5,Denver Nuggets,Sacramento Kings,BetMGM,2022-01-08T02:10:00Z,1.91,225.5,1.91,226.5
67,Under,1.91,224.5,Denver Nuggets,Sacramento Kings,BetMGM,2022-01-08T02:10:00Z,1.91,225.5,1.91,226.5
68,Over,1.9,225.5,Denver Nuggets,Sacramento Kings,BetOnline.ag,2022-01-08T02:10:00Z,1.9,225.5,1.9,225.5
69,Under,1.9,225.5,Denver Nuggets,Sacramento Kings,BetOnline.ag,2022-01-08T02:10:00Z,1.9,225.5,1.9,225.5
70,Over,1.88,225.5,Denver Nuggets,Sacramento Kings,BetRivers,2022-01-08T02:10:00Z,1.88,225.0,1.93,226.5
71,Under,1.93,225.5,Denver Nuggets,Sacramento Kings,BetRivers,2022-01-08T02:10:00Z,1.92,225.0,1.88,226.5
72,Over,1.91,225.5,Denver Nuggets,Sacramento Kings,BetUS,2022-01-08T02:10:00Z,1.91,225.5,1.91,226.0
73,Under,1.91,225.5,Denver Nuggets,Sacramento Kings,BetUS,2022-01-08T02:10:00Z,1.91,225.5,1.91,226.0
74,Over,1.91,225.5,Denver Nuggets,Sacramento Kings,Bovada,2022-01-08T02:10:00Z,1.91,225.5,1.91,226.0
75,Under,1.91,225.5,Denver Nuggets,Sacramento Kings,Bovada,2022-01-08T02:10:00Z,1.91,225.5,1.91,226.0
76,Over,1.91,225.0,Denver Nuggets,Sacramento Kings,DraftKings,2022-01-08T02:10:00Z,1.91,225.5,1.91,226.0
77,Under,1.91,225.0,Denver Nuggets,Sacramento Kings,DraftKings,2022-01-08T02:10:00Z,1.91,225.5,1.91,226.0
78,Over,1.91,225.0,Denver Nuggets,Sacramento Kings,FOX Bet,2022-01-08T02:10:00Z,1.91,225.0,1.91,226.0
79,Under,1.91,225.0,Denver Nuggets,Sacramento Kings,FOX Bet,2022-01-08T02:10:00Z,1.91,225.0,1.91,226.0
80,Over,1.89,225.5,Denver Nuggets,Sacramento Kings,FanDuel,2022-01-08T02:10:00Z,1.91,225.5,1.89,225.5
81,Under,1.93,225.5,Denver Nuggets,Sacramento Kings,FanDuel,2022-01-08T02:10:00Z,1.91,225.5,1.93,225.5
82,Over,1.92,225.5,Denver Nuggets,Sacramento Kings,GTbets,2022-01-08T02:10:00Z,1.92,225.5,1.92,226.0
83,Under,1.92,225.5,Denver Nuggets,Sacramento Kings,GTbets,2022-01-08T02:10:00Z,1.92,225.5,1.92,226.0
84,Over,1.91,224.5,Denver Nuggets,Sacramento Kings,MyBookie.ag,2022-01-08T02:10:00Z,1.91,224.5,1.91,225.5
85,Under,1.91,224.5,Denver Nuggets,Sacramento Kings,MyBookie.ag,2022-01-08T02:10:00Z,1.91,224.5,1.91,225.5
86,Over,1.88,225.5,Denver Nuggets,Sacramento Kings,SugarHouse,2022-01-08T02:10:00Z,1.88,225.0,1.93,226.5
87,Under,1.93,225.5,Denver Nuggets,Sacramento Kings,SugarHouse,2022-01-08T02:10:00Z,1.92,225.0,1.88,226.5
88,Over,1.88,225.5,Denver Nuggets,Sacramento Kings,TwinSpires,2022-01-08T02:10:00Z,1.88,225.0,1.93,226.5
