,name,price,point,home_team,away_team,bookmakers.title,commence_time
85,Under,1.95,211.0,Indiana Pacers,Boston Celtics,LowVig.ag,2022-01-13T00:10:00Z
86,Over,1.89,210.5,Indiana Pacers,Boston Celtics,SugarHouse,2022-01-13T00:10:00Z
87,Under,1.92,210.5,Indiana Pacers,Boston Celtics,SugarHouse,2022-01-13T00:10:00Z
88,Over,1.89,210.5,Indiana Pacers,Boston Celtics,TwinSpires,2022-01-13T00:10:00Z
89,Under,1.92,210.5,Indiana Pacers,Boston Celtics,TwinSpires,2022-01-13T00:10:00Z
90,Over,1.9,210.5,Indiana Pacers,Boston Celtics,Unibet,2022-01-13T00:10:00Z
91,Under,1.92,210.5,Indiana Pacers,Boston Celtics,Unibet,2022-01-13T00:10:00Z
92,Over,1.91,210.5,Indiana Pacers,Boston Celtics,William Hill (US),2022-01-13T00:10:00Z
93,Under,1.91,210.5,Indiana Pacers,Boston Celtics,William Hill (US),2022-01-13T00:10:00Z
94,Over,1.91,211.0,Indiana Pacers,Boston Celtics,WynnBET,2022-01-13T00:10:00Z
95,Under,1.91,211.0,Indiana Pacers,Boston Celtics,WynnBET,2022-01-13T00:10:00Z
96,Over,1.89,206.0,New York Knicks,Dallas Mavericks,Barstool Sportsbook,2022-01-13T00:40:00Z
97,Under,1.92,206.0,New York Knicks,Dallas Mavericks,Barstool Sportsbook,2022-01-13T00:40:00Z
98,Over,1.91,205.5,New York Knicks,Dallas Mavericks,BetMGM,2022-01-13T00:40:00Z
99,Under,1.91,205.5,New York Knicks,Dallas Mavericks,BetMGM,2022-01-13T00:40:00Z
100,Over,1.9,205.0,New York Knicks,Dallas Mavericks,BetOnline.ag,2022-01-13T00:40:00Z
101,Under,1.9,205.0,New York Knicks,Dallas Mavericks,BetOnline.ag,2022-01-13T00:40:00Z
102,Over,1.89,206.0,New York Knicks,Dallas Mavericks,BetRivers,2022-01-13T00:40:00Z
103,Under,1.92,206.0,New York Knicks,Dallas Mavericks,BetRivers,2022-01-13T00:40:00Z
104,Over,1.91,205.0,New York Knicks,Dallas Mavericks,BetUS,2022-01-13T00:40:00Z
105,Under,1.91,205.0,New York Knicks,Dallas Mavericks,BetUS,2022-01-13T00:40:00Z
106,Over,1.91,205.0,New York Knicks,Dallas Mavericks,Bovada,2022-01-13T00:40:00Z
107,Under,1.91,205.0,New York Knicks,Dallas Mavericks,Bovada,2022-01-13T00:40:00Z
108,Over,1.91,205.5,New York Knicks,Dallas Mavericks,DraftKings,2022-01-13T00:40:00Z
109,Under,1.91,205.5,New York Knicks,Dallas Mavericks,DraftKings,2022-01-13T00:40:00Z
110,Over,2.0,205.5,New York Knicks,Dallas Mavericks,FOX Bet,2022-01-13T00:40:00Z
111,Under,1.85,205.5,New York Knicks,Dallas Mavericks,FOX Bet,2022-01-13T00:40:00Z
112,Over,1.91,205.5,New York Knicks,Dallas Mavericks,FanDuel,2022-01-13T00:40:00Z
113,Under,1.91,205.5,New York Knicks,Dallas Mavericks,FanDuel,2022-01-13T00:40:00Z
114,Over,1.92,205.0,New York Knicks,Dallas Mavericks,GTbets,2022-01-13T00:40:00Z
115,Under,1.92,205.0,New York Knicks,Dallas Mavericks,GTbets,2022-01-13T00:40:00Z
116,Over,1.95,205.0,New York Knicks,Dallas Mavericks,LowVig.ag,2022-01-13T00:40:00Z
117,Under,1.95,205.0,New York Knicks,Dallas Mavericks,LowVig.ag,2022-01-13T00:40:00Z
118,Over,1.89,206.0,New York Knicks,Dallas Mavericks,SugarHouse,2022-01-13T00:40:00Z
119,Under,1.92,206.0,New York Knicks,Dallas Mavericks,SugarHouse,2022-01-13T00:40:00Z
120,Over,1.89,206.0,New York Knicks,Dallas Mavericks,TwinSpires,2022-01-13T00:40:00Z
121,Under,1.92,206.0,New York Knicks,Dallas Mavericks,TwinSpires,2022-01-13T00:40:00Z
122,Over,1.9,206.0,New York Knicks,Dallas Mavericks,Unibet,2022-01-13T00:40:00Z
123,Under,1.92,206.0,New York Knicks,Dallas Mavericks,Unibet,2022-01-13T00:40:00Z
124,Over,1.91,205.0,New York Knicks,Dallas Mavericks,William Hill (US),2022-01-13T00:40:00Z
125,Under,1.91,205.0,New York Knicks,Dallas Mavericks,William Hill (US),2022-01-13T00:40:00Z
126,Over,1.91,205.0,New York Knicks,Dallas Mavericks,WynnBET,2022-01-13T00:40:00Z
127,Under,1.91,205.0,New York Knicks,Dallas Mavericks,WynnBET,2022-01-13T00:40:00Z
128,Over,1.89,226.0,Philadelphia 76ers,Charlotte Hornets,Barstool Sportsbook,2022-01-13T00:10:00Z
129,Under,1.92,226.0,Philadelphia 76ers,Charlotte Hornets,Barstool Sportsbook,2022-01-13T00:10:00Z
130,Over,1.91,226.5,Philadelphia 76ers,Charlotte Hornets,BetMGM,2022-01-13T00:10:00Z
131,Under,1.91,226.5,Philadelphia 76ers,Charlotte Hornets,BetMGM,2022-01-13T00:10:00Z
132,Over,1.9,226.0,Philadelphia 76ers,Charlotte Hornets,BetOnline.ag,2022-01-13T00:10:00Z
133,Under,1.9,226.0,Philadelphia 76ers,Charlotte Hornets,BetOnline.ag,2022-01-13T00:10:00Z
134,Over,1.89,226.0,Philadelphia 76ers,Charlotte Hornets,BetRivers,2022-01-13T00:10:00Z
135,Under,1.92,226.0,Philadelphia 76ers,Charlotte Hornets,BetRivers,2022-01-13T00:10:00Z
136,Over,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,BetUS,2022-01-13T00:10:00Z
137,Under,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,BetUS,2022-01-13T00:10:00Z
138,Over,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,Bovada,2022-01-13T00:10:00Z
139,Under,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,Bovada,2022-01-13T00:10:00Z
140,Over,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,DraftKings,2022-01-13T00:10:00Z
141,Under,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,DraftKings,2022-01-13T00:10:00Z
142,Over,2.0,226.5,Philadelphia 76ers,Charlotte Hornets,FOX Bet,2022-01-13T00:10:00Z
143,Under,1.85,226.5,Philadelphia 76ers,Charlotte Hornets,FOX Bet,2022-01-13T00:10:00Z
144,Over,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,FanDuel,2022-01-13T00:10:00Z
145,Under,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,FanDuel,2022-01-13T00:10:00Z
146,Over,1.92,226.0,Philadelphia 76ers,Charlotte Hornets,GTbets,2022-01-13T00:10:00Z
147,Under,1.92,226.0,Philadelphia 76ers,Charlotte Hornets,GTbets,2022-01-13T00:10:00Z
148,Over,1.95,226.0,Philadelphia 76ers,Charlotte Hornets,LowVig.ag,2022-01-13T00:10:00Z
149,Under,1.95,226.0,Philadelphia 76ers,Charlotte Hornets,LowVig.ag,2022-01-13T00:10:00Z
150,Over,1.89,226.0,Philadelphia 76ers,Charlotte Hornets,SugarHouse,2022-01-13T00:10:00Z
151,Under,1.92,226.0,Philadelphia 76ers,Charlotte Hornets,SugarHouse,2022-01-13T00:10:00Z
152,Over,1.89,226.0,Philadelphia 76ers,Charlotte Hornets,TwinSpires,2022-01-13T00:10:00Z
153,Under,1.92,226.0,Philadelphia 76ers,Charlotte Hornets,TwinSpires,2022-01-13T00:10:00Z
154,Over,1.9,226.0,Philadelphia 76ers,Charlotte Hornets,Unibet,2022-01-13T00:10:00Z
155,Under,1.92,226.0,Philadelphia 76ers,Charlotte Hornets,Unibet,2022-01-13T00:10:00Z
156,Over,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,William Hill (US),2022-01-13T00:10:00Z
157,Under,1.91,226.0,Philadelphia 76ers,Charlotte Hornets,William Hill (US),2022-01-13T00:10:00Z
158,Over,1.91,226.5,Philadelphia 76ers,Charlotte Hornets,WynnBET,2022-01-13T00:10:00Z
159,Under,1.91,226.5,Philadelphia 76ers,Charlotte Hornets,WynnBET,2022-01-13T00:10:00Z
160,Over,1.89,230.5,Sacramento Kings,Los Angeles Lakers,Barstool Sportsbook,2022-01-13T03:10:00Z
161,Under,1.92,230.5,Sacramento Kings,Los Angeles Lakers,Barstool Sportsbook,2022-01-13T03:10:00Z
162,Over,1.91,231.5,Sacramento Kings,Los Angeles Lakers,BetMGM,2022-01-13T03:10:00Z
163,Under,1.91,231.5,Sacramento Kings,Los Angeles Lakers,BetMGM,2022-01-13T03:10:00Z
164,Over,1.9,231.0,Sacramento Kings,Los Angeles Lakers,BetOnline.ag,2022-01-13T03:10:00Z
165,Under,1.9,231.0,Sacramento Kings,Los Angeles Lakers,BetOnline.ag,2022-01-13T03:10:00Z
166,Over,1.89,230.5,Sacramento Kings,Los Angeles Lakers,BetRivers,2022-01-13T03:10:00Z
167,Under,1.92,230.5,Sacramento Kings,Los Angeles Lakers,BetRivers,2022-01-13T03:10:00Z
168,Over,1.91,231.0,Sacramento Kings,Los Angeles Lakers,BetUS,2022-01-13T03:10:00Z
169,Under,1.91,231.0,Sacramento Kings,Los Angeles Lakers,BetUS,2022-01-13T03:10:00Z
170,Over,1.91,231.0,Sacramento Kings,Los Angeles Lakers,Bovada,2022-01-13T03:10:00Z
171,Under,1.91,231.0,Sacramento Kings,Los Angeles Lakers,Bovada,2022-01-13T03:10:00Z
172,Over,1.91,231.5,Sacramento Kings,Los Angeles Lakers,DraftKings,2022-01-13T03:10:00Z
173,Under,1.91,231.5,Sacramento Kings,Los Angeles Lakers,DraftKings,2022-01-13T03:10:00Z
174,Over,1.91,231.5,Sacramento Kings,Los Angeles Lakers,FOX Bet,2022-01-13T03:10:00Z
175,Under,1.91,231.5,Sacramento Kings,Los Angeles Lakers,FOX Bet,2022-01-13T03:10:00Z
176,Over,1.89,231.0,Sacramento Kings,Los Angeles Lakers,FanDuel,2022-01-13T03:10:00Z
177,Under,1.93,231.0,Sacramento Kings,Los Angeles Lakers,FanDuel,2022-01-13T03:10:00Z
178,Over,1.92,231.0,Sacramento Kings,Los Angeles Lakers,GTbets,2022-01-13T03:10:00Z
179,Under,1.92,231.0,Sacramento Kings,Los Angeles Lakers,GTbets,2022-01-13T03:10:00Z
180,Over,1.95,231.5,Sacramento Kings,Los Angeles Lakers,LowVig.ag,2022-01-13T03:10:00Z
181,Under,1.95,231.5,Sacramento Kings,Los Angeles Lakers,LowVig.ag,2022-01-13T03:10:00Z
182,Over,1.89,230.5,Sacramento Kings,Los Angeles Lakers,SugarHouse,2022-01-13T03:10:00Z
183,Under,1.92,230.5,Sacramento Kings,Los Angeles Lakers,SugarHouse,2022-01-13T03:10:00Z
184,Over,1.89,230.5,Sacramento Kings,Los Angeles Lakers,TwinSpires,2022-01-13T03:10:00Z
185,Under,1.92,230.5,Sacramento Kings,Los Angeles Lakers,TwinSpires,2022-01-13T03:10:00Z
186,Over,1.9,230.5,Sacramento Kings,Los Angeles Lakers,Unibet,2022-01-13T03:10:00Z
187,Under,1.92,230.5,Sacramento Kings,Los Angeles Lakers,Unibet,2022-01-13T03:10:00Z
188,Over,1.91,231.0,Sacramento Kings,Los Angeles Lakers,William Hill (US),2022-01-13T03:10:00Z
189,Under,1.91,231.0,Sacramento Kings,Los Angeles Lakers,William Hill (US),2022-01-13T03:10:00Z
190,Over,1.91,231.0,Sacramento Kings,Los Angeles Lakers,WynnBET,2022-01-13T03:10:00Z
191,Under,1.91,231.0,Sacramento Kings,Los Angeles Lakers,WynnBET,2022-01-13T03:10:00Z
192,Over,1.89,230.5,San Antonio Spurs,Houston Rockets,Barstool Sportsbook,2022-01-13T01:40:00Z
193,Under,1.92,230.5,San Antonio Spurs,Houston Rockets,Barstool Sportsbook,2022-01-13T01:40:00Z
194,Over,1.91,230.5,San Antonio Spurs,Houston Rockets,BetMGM,2022-01-13T01:40:00Z
195,Under,1.91,230.5,San Antonio Spurs,Houston Rockets,BetMGM,2022-01-13T01:40:00Z
196,Over,1.9,231.0,San Antonio Spurs,Houston Rockets,BetOnline.ag,2022-01-13T01:40:00Z
197,Under,1.9,231.0,San Antonio Spurs,Houston Rockets,BetOnline.ag,2022-01-13T01:40:00Z
198,Over,1.89,230.5,San Antonio Spurs,Houston Rockets,BetRivers,2022-01-13T01:40:00Z
199,Under,1.92,230.5,San Antonio Spurs,Houston Rockets,BetRivers,2022-01-13T01:40:00Z
200,Over,1.91,231.0,San Antonio Spurs,Houston Rockets,BetUS,2022-01-13T01:40:00Z
201,Under,1.91,231.0,San Antonio Spurs,Houston Rockets,BetUS,2022-01-13T01:40:00Z
202,Over,1.91,231.0,San Antonio Spurs,Houston Rockets,Bovada,2022-01-13T01:40:00Z
203,Under,1.91,231.0,San Antonio Spurs,Houston Rockets,Bovada,2022-01-13T01:40:00Z
204,Over,1.91,230.0,San Antonio Spurs,Houston Rockets,DraftKings,2022-01-13T01:40:00Z
205,Under,1.91,230.0,San Antonio Spurs,Houston Rockets,DraftKings,2022-01-13T01:40:00Z
206,Over,1.91,230.0,San Antonio Spurs,Houston Rockets,FOX Bet,2022-01-13T01:40:00Z
207,Under,1.91,230.0,San Antonio Spurs,Houston Rockets,FOX Bet,2022-01-13T01:40:00Z
208,Over,1.91,231.0,San Antonio Spurs,Houston Rockets,FanDuel,2022-01-13T01:40:00Z
209,Under,1.91,231.0,San Antonio Spurs,Houston Rockets,FanDuel,2022-01-13T01:40:00Z
210,Over,1.92,231.0,San Antonio Spurs,Houston Rockets,GTbets,2022-01-13T01:40:00Z
211,Under,1.92,231.0,San Antonio Spurs,Houston Rockets,GTbets,2022-01-13T01:40:00Z
212,Over,1.95,230.0,San Antonio Spurs,Houston Rockets,LowVig.ag,2022-01-13T01:40:00Z
213,Under,1.95,230.0,San Antonio Spurs,Houston Rockets,LowVig.ag,2022-01-13T01:40:00Z
214,Over,1.89,230.5,San Antonio Spurs,Houston Rockets,SugarHouse,2022-01-13T01:40:00Z
215,Under,1.92,230.5,San Antonio Spurs,Houston Rockets,SugarHouse,2022-01-13T01:40:00Z
216,Over,1.89,230.5,San Antonio Spurs,Houston Rockets,TwinSpires,2022-01-13T01:40:00Z
217,Under,1.92,230.5,San Antonio Spurs,Houston Rockets,TwinSpires,2022-01-13T01:40:00Z
218,Over,1.9,230.5,San Antonio Spurs,Houston Rockets,Unibet,2022-01-13T01:40:00Z
219,Under,1.92,230.5,San Antonio Spurs,Houston Rockets,Unibet,2022-01-13T01:40:00Z
220,Over,1.91,231.0,San Antonio Spurs,Houston Rockets,William Hill (US),2022-01-13T01:40:00Z
221,Under,1.91,231.0,San Antonio Spurs,Houston Rockets,William Hill (US),2022-01-13T01:40:00Z
222,Over,1.91,230.0,San Antonio Spurs,Houston Rockets,WynnBET,2022-01-13T01:40:00Z
223,Under,1.91,230.0,San Antonio Spurs,Houston Rockets,WynnBET,2022-01-13T01:40:00Z
224,Over,1.89,223.0,Utah Jazz,Cleveland Cavaliers,Barstool Sportsbook,2022-01-13T02:10:00Z
225,Under,1.92,223.0,Utah Jazz,Cleveland Cavaliers,Barstool Sportsbook,2022-01-13T02:10:00Z
226,Over,1.91,223.5,Utah Jazz,Cleveland Cavaliers,BetMGM,2022-01-13T02:10:00Z
227,Under,1.91,223.5,Utah Jazz,Cleveland Cavaliers,BetMGM,2022-01-13T02:10:00Z
228,Over,1.9,224.5,Utah Jazz,Cleveland Cavaliers,BetOnline.ag,2022-01-13T02:10:00Z
229,Under,1.9,224.5,Utah Jazz,Cleveland Cavaliers,BetOnline.ag,2022-01-13T02:10:00Z
230,Over,1.89,223.0,Utah Jazz,Cleveland Cavaliers,BetRivers,2022-01-13T02:10:00Z
231,Under,1.92,223.0,Utah Jazz,Cleveland Cavaliers,BetRivers,2022-01-13T02:10:00Z
232,Over,1.91,224.0,Utah Jazz,Cleveland Cavaliers,BetUS,2022-01-13T02:10:00Z
233,Under,1.91,224.0,Utah Jazz,Cleveland Cavaliers,BetUS,2022-01-13T02:10:00Z
234,Over,1.91,224.5,Utah Jazz,Cleveland Cavaliers,Bovada,2022-01-13T02:10:00Z
235,Under,1.91,224.5,Utah Jazz,Cleveland Cavaliers,Bovada,2022-01-13T02:10:00Z
236,Over,1.91,223.5,Utah Jazz,Cleveland Cavaliers,DraftKings,2022-01-13T02:10:00Z
237,Under,1.91,223.5,Utah Jazz,Cleveland Cavaliers,DraftKings,2022-01-13T02:10:00Z
238,Over,1.91,223.0,Utah Jazz,Cleveland Cavaliers,FOX Bet,2022-01-13T02:10:00Z
239,Under,1.91,223.0,Utah Jazz,Cleveland Cavaliers,FOX Bet,2022-01-13T02:10:00Z
240,Over,1.89,223.5,Utah Jazz,Cleveland Cavaliers,FanDuel,2022-01-13T02:10:00Z
241,Under,1.93,223.5,Utah Jazz,Cleveland Cavaliers,FanDuel,2022-01-13T02:10:00Z
242,Over,1.92,224.0,Utah Jazz,Cleveland Cavaliers,GTbets,2022-01-13T02:10:00Z
243,Under,1.92,224.0,Utah Jazz,Cleveland Cavaliers,GTbets,2022-01-13T02:10:00Z
244,Over,1.91,222.5,Utah Jazz,Cleveland Cavaliers,LowVig.ag,2022-01-13T02:10:00Z
245,Under,2.0,222.5,Utah Jazz,Cleveland Cavaliers,LowVig.ag,2022-01-13T02:10:00Z
246,Over,1.89,224.0,Utah Jazz,Cleveland Cavaliers,SugarHouse,2022-01-13T02:10:00Z
247,Under,1.92,224.0,Utah Jazz,Cleveland Cavaliers,SugarHouse,2022-01-13T02:10:00Z
248,Over,1.89,223.0,Utah Jazz,Cleveland Cavaliers,TwinSpires,2022-01-13T02:10:00Z
249,Under,1.92,223.0,Utah Jazz,Cleveland Cavaliers,TwinSpires,2022-01-13T02:10:00Z
250,Over,1.9,223.0,Utah Jazz,Cleveland Cavaliers,Unibet,2022-01-13T02:10:00Z
251,Under,1.92,223.0,Utah Jazz,Cleveland Cavaliers,Unibet,2022-01-13T02:10:00Z
252,Over,1.91,224.0,Utah Jazz,Cleveland Cavaliers,William Hill (US),2022-01-13T02:10:00Z
253,Under,1.91,224.0,Utah Jazz,Cleveland Cavaliers,William Hill (US),2022-01-13T02:10:00Z
254,Over,1.91,223.0,Utah Jazz,Cleveland Cavaliers,WynnBET,2022-01-13T02:10:00Z
255,Under,1.91,223.0,Utah Jazz,Cleveland Cavaliers,WynnBET,2022-01-13T02:10:00Z
256,Over,1.92,215.5,Washington Wizards,Orlando Magic,Barstool Sportsbook,2022-01-13T00:10:00Z
257,Under,1.89,215.5,Washington Wizards,Orlando Magic,Barstool Sportsbook,2022-01-13T00:10:00Z
258,Over,1.91,215.5,Washington Wizards,Orlando Magic,BetMGM,2022-01-13T00:10:00Z
259,Under,1.91,215.5,Washington Wizards,Orlando Magic,BetMGM,2022-01-13T00:10:00Z
260,Over,1.9,215.5,Washington Wizards,Orlando Magic,BetOnline.ag,2022-01-13T00:10:00Z
