,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
62,Over,1.9,131.5,Butler Bulldogs,Xavier Musketeers,Unibet,2022-01-08T01:30:00Z,1.91,131.5,1.83,130.0
63,Under,1.85,131.5,Butler Bulldogs,Xavier Musketeers,Unibet,2022-01-08T01:30:00Z,1.91,131.5,1.98,130.0
64,Over,1.91,131.5,Butler Bulldogs,Xavier Musketeers,William Hill (US),2022-01-08T01:30:00Z,1.92,132.0,1.92,130.5
65,Under,1.91,131.5,Butler Bulldogs,Xavier Musketeers,William Hill (US),2022-01-08T01:30:00Z,1.92,132.0,1.92,130.5
66,Over,1.91,131.5,Butler Bulldogs,Xavier Musketeers,WynnBET,2022-01-08T01:30:00Z,1.91,131.5,1.91,130.5
67,Under,1.91,131.5,Butler Bulldogs,Xavier Musketeers,WynnBET,2022-01-08T01:30:00Z,1.91,131.5,1.91,130.5
68,Over,1.93,139.0,Detroit Mercy Titans,Milwaukee Panthers,Barstool Sportsbook,2022-01-08T00:00:00Z,1.89,131.0,1.89,131.0
69,Under,1.89,139.0,Detroit Mercy Titans,Milwaukee Panthers,Barstool Sportsbook,2022-01-08T00:00:00Z,1.93,131.0,1.93,131.0
70,Over,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,BetMGM,2022-01-08T00:00:00Z,1.89,131.0,1.89,131.0
71,Under,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,BetMGM,2022-01-08T00:00:00Z,1.93,131.0,1.93,131.0
72,Over,1.93,139.0,Detroit Mercy Titans,Milwaukee Panthers,BetRivers,2022-01-08T00:00:00Z,1.86,131.0,1.86,131.0
73,Under,1.89,139.0,Detroit Mercy Titans,Milwaukee Panthers,BetRivers,2022-01-08T00:00:00Z,1.89,131.0,1.89,131.0
74,Over,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,BetUS,2022-01-08T00:00:00Z,1.91,131.5,1.91,131.0
