,name,price,point,home_team,away_team,bookmakers.title,commence_time
155,Under,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,BetMGM,2022-01-13T00:00:00Z
156,Over,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,BetRivers,2022-01-13T00:00:00Z
157,Under,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,BetRivers,2022-01-13T00:00:00Z
158,Over,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,BetUS,2022-01-13T00:00:00Z
159,Under,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,BetUS,2022-01-13T00:00:00Z
160,Over,1.91,138.5,Campbell Fighting Camels,Charleston Southern Buccaneers,Bovada,2022-01-13T00:00:00Z
161,Under,1.91,138.5,Campbell Fighting Camels,Charleston Southern Buccaneers,Bovada,2022-01-13T00:00:00Z
162,Over,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,DraftKings,2022-01-13T00:00:00Z
163,Under,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,DraftKings,2022-01-13T00:00:00Z
164,Over,2.0,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,FOX Bet,2022-01-13T00:00:00Z
165,Under,1.85,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,FOX Bet,2022-01-13T00:00:00Z
166,Over,1.93,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,FanDuel,2022-01-13T00:00:00Z
167,Under,1.89,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,FanDuel,2022-01-13T00:00:00Z
168,Over,1.92,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,GTbets,2022-01-13T00:00:00Z
169,Under,1.92,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,GTbets,2022-01-13T00:00:00Z
170,Over,1.93,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,LowVig.ag,2022-01-13T00:00:00Z
171,Under,1.93,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,LowVig.ag,2022-01-13T00:00:00Z
172,Over,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,PointsBet (US),2022-01-13T00:00:00Z
173,Under,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,PointsBet (US),2022-01-13T00:00:00Z
174,Over,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,SugarHouse,2022-01-13T00:00:00Z
175,Under,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,SugarHouse,2022-01-13T00:00:00Z
